@RELATION narrative
@ATTRIBUTE "Is Actual" NUMERIC
@ATTRIBUTE "Func. Position" NUMERIC
@ATTRIBUTE "Ratio Hero" NUMERIC
@ATTRIBUTE "Ratio Villain" NUMERIC
@ATTRIBUTE "Ratio Tester" NUMERIC
@ATTRIBUTE "Ratio Prize" NUMERIC
@ATTRIBUTE "Ratio FalseHero" NUMERIC
@ATTRIBUTE "Ratio Other" NUMERIC
@ATTRIBUTE "Ratio NA" NUMERIC
@ATTRIBUTE "do" NUMERIC
@ATTRIBUTE "be" NUMERIC
@ATTRIBUTE "think" NUMERIC
@ATTRIBUTE "talk" NUMERIC
@ATTRIBUTE "answer" NUMERIC
@ATTRIBUTE "ask" NUMERIC
@ATTRIBUTE "punish" NUMERIC
@ATTRIBUTE "help" NUMERIC
@ATTRIBUTE "reward" NUMERIC
@ATTRIBUTE "move" NUMERIC
@ATTRIBUTE "Function Group Label" {alpha,beta,gamma,delta,epsilon,zeta,eta,theta,A,a,B,C,depart,D,E,F,G,H,J,I,K,return,Pr,Rs,o,L,M,N,Q,Ex,T,U,W}
@ATTRIBUTE "Function Label" STRING
@DATA
1.0,0.502490566038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.571428571429,0.5,0.5,0.5,0.5,1.0,depart,'up'
0.0,0.697283018868,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.857142857143,1.0,0.666666666667,0.888888888889,0.6,0.888888888889,0.75,0.666666666667,1.0,1.0,H,'H2'
1.0,0.794113207547,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.666666666667,1.0,1.0,0.857142857143,1.0,0.666666666667,0.857142857143,1.0,I,'I2'
1.0,0.963094339623,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.777777777778,0.8,0.769230769231,0.5,1.0,0.75,0.857142857143,K,'K1'
1.0,0.986490566038,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.888888888889,1.0,0.8,0.857142857143,0.666666666667,0.666666666667,1.0,1.0,return,'down'
0.0,0.988452830189,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.823529411765,0.777777777778,0.5,1.0,0.8,0.857142857143,0.5,0.666666666667,0.857142857143,0.625,return,'down'
1.0,0.0489079318633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.75,0.4,0.888888888889,0.5,0.5,0.8,0.666666666667,depart,'up'
1.0,0.116260842303,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.8,D,'D'
1.0,0.301233148709,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.5,0.909090909091,0.8,0.666666666667,0.8,0.666666666667,0.909090909091,0.857142857143,E,'E7'
1.0,0.323806040339,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.857142857143,0.4,0.75,0.666666666667,0.666666666667,0.8,1.0,F,'F_9'
1.0,0.330651060717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.857142857143,0.571428571429,0.75,0.666666666667,0.666666666667,0.8,1.0,G,'G1'
1.0,0.470320827673,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.8,0.4,0.888888888889,0.5,0.571428571429,1.0,0.8,T,'T4'
0.0,0.499268471105,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.571428571429,0.8,0.5,0.5,0.5,1.0,A,'A18'
1.0,0.582401504859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.5,0.909090909091,0.571428571429,0.857142857143,0.666666666667,0.5,1.0,1.0,C,'C'
1.0,0.590552826837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.75,0.4,0.888888888889,0.5,0.5,0.8,0.666666666667,depart,'up'
1.0,0.65848050998,0,0,0,0,0,0,0,0.842105263158,1.0,0.5,0.777777777778,0.4,0.7,0.5,0.5,0.75,0.555555555556,F,'F1'
1.0,0.738217159578,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.4,0.5,0.8,0.666666666667,0.75,0.75,H,'H3'
0.0,0.738217159578,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.4,0.5,0.8,0.666666666667,0.75,0.75,I,'I3'
1.0,0.881492318947,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.8,K,'K4'
1.0,0.9183822761,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.285714285714,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,W,'W*'
1.0,0.0705478581416,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.888888888889,1.0,0.8,0.857142857143,0.5,0.75,1.0,1.0,alpha,'alpha'
1.0,0.097686538706,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.857142857143,0.666666666667,0.888888888889,0.6,0.75,0.75,0.666666666667,0.75,1.0,A,'A1'
1.0,0.140205923478,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.8,0.888888888889,0.5,0.75,1.0,0.75,B,'B1'
1.0,0.154124825219,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666666667,0.5,0.5,0.666666666667,0.8,0.5,0.5,0.5,0.75,0.857142857143,C,'C'
1.0,0.167980170332,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.777777777778,0.5,0.875,0.666666666667,0.888888888889,0.5,0.666666666667,0.857142857143,0.666666666667,depart,'up'
1.0,0.593428244566,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666666667,0.5,0.5,0.888888888889,0.444444444444,0.8,0.5,0.5,0.666666666667,0.666666666667,H,'H1'
1.0,0.603152408796,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.666666666667,0.5,0.75,0.714285714286,0.666666666667,1.0,0.833333333333,0.666666666667,0.666666666667,I,'I1'
0.0,0.869772467268,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.8,K,'K4'
1.0,0.870026693784,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.8,return,'down'
1.0,0.881911783399,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.888888888889,1.0,0.8,0.857142857143,0.5,0.75,0.888888888889,1.0,W,'w0'
1.0,0.051491698914,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.888888888889,1.0,0.8,0.933333333333,0.5,0.769230769231,1.0,0.857142857143,alpha,'alpha'
1.0,0.0772687554612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.444444444444,0.8,0.666666666667,0.666666666667,0.842105263158,1.0,gamma,'gamma1'
0.0,0.0991761328174,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.666666666667,0.5,0.5,0.571428571429,0.888888888889,1.0,beta,'beta3'
1.0,0.270565472475,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.666666666667,0.727272727273,0.4,1.0,0.5,0.5,0.666666666667,0.6,zeta,'zeta1'
1.0,0.357633254275,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.888888888889,1.0,0.571428571429,0.933333333333,0.5,0.769230769231,1.0,1.0,eta,'eta3'
1.0,0.387592060916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.8,theta,'theta2'
1.0,0.391399325927,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.4,0.4,0.333333333333,0.444444444444,0.8,0.4,0.4,0.857142857143,A,'A1'
1.0,0.393334165522,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.857142857143,0.666666666667,0.888888888889,0.6,0.75,0.75,0.666666666667,0.75,1.0,depart,'up'
1.0,0.424354013232,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.777777777778,0.5,1.0,0.8,0.857142857143,0.571428571429,0.666666666667,0.857142857143,0.8,D,'D8'
1.0,0.463050805143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.5,0.5,0.571428571429,0.4,0.5,0.75,0.5,0.5,0.75,E,'E8'
1.0,0.474847085258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857142857143,0.75,0.5,0.769230769231,0.4,0.888888888889,0.5,0.6,0.75,1.0,return,'down'
1.0,0.651416801897,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.842105263158,1.0,0.5,0.888888888889,0.4,0.7,0.5,0.666666666667,0.75,0.666666666667,Pr,'Pr7'
1.0,0.684933216827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.666666666667,0.666666666667,0.666666666667,0.571428571429,0.8,0.5,0.5,0.909090909091,0.666666666667,Rs,'Rs10'
1.0,0.731743852203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.666666666667,0.5,0.888888888889,0.8,0.888888888889,0.5,0.8,0.8,1.0,Pr,'Pr7'
1.0,0.871364373986,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.888888888889,0.888888888889,0.6,0.857142857143,0.75,0.75,0.75,1.0,Rs,'Rs1'
1.0,0.268063420159,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.8,1.0,1.0,alpha,'alpha'
0.0,0.51087202718,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.666666666667,0.5,0.5,0.5,0.4,0.857142857143,0.666666666667,0.5,0.5,0.571428571429,a,'a1'
