Is Actual	Func. Position	Ratio Hero	Ratio Villain	Ratio Tester	Ratio Prize	Ratio FalseHero	Ratio Other	Ratio NA	do	be	think	talk	answer	ask	punish	help	reward	move	Function Group Label
1.0	0.154124825219	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.666666666667	0.5	0.5	0.666666666667	0.8	0.5	0.5	0.5	0.75	0.857142857143	C
1.0	0.167980170332	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.777777777778	0.5	0.875	0.666666666667	0.888888888889	0.5	0.666666666667	0.857142857143	0.666666666667	depart
1.0	0.593428244566	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.666666666667	0.5	0.5	0.888888888889	0.444444444444	0.8	0.5	0.5	0.666666666667	0.666666666667	H
1.0	0.603152408796	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.8	0.666666666667	0.5	0.75	0.714285714286	0.666666666667	1.0	0.833333333333	0.666666666667	0.666666666667	I
0.0	0.869772467268	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.75	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.8	K
1.0	0.870026693784	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.75	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.8	return
1.0	0.881911783399	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.888888888889	1.0	0.8	0.857142857143	0.5	0.75	0.888888888889	1.0	W
1.0	0.051491698914	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.888888888889	1.0	0.8	0.933333333333	0.5	0.769230769231	1.0	0.857142857143	alpha
1.0	0.0772687554612	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.444444444444	0.8	0.666666666667	0.666666666667	0.842105263158	1.0	gamma
0.0	0.0991761328174	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.5	0.5	0.666666666667	0.5	0.5	0.571428571429	0.888888888889	1.0	beta
1.0	0.270565472475	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.666666666667	0.727272727273	0.4	1.0	0.5	0.5	0.666666666667	0.6	zeta
1.0	0.357633254275	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.888888888889	1.0	0.571428571429	0.933333333333	0.5	0.769230769231	1.0	1.0	eta
1.0	0.387592060916	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.8	theta
1.0	0.391399325927	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.8	0.4	0.4	0.4	0.333333333333	0.444444444444	0.8	0.4	0.4	0.857142857143	A
1.0	0.393334165522	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.75	0.857142857143	0.666666666667	0.888888888889	0.6	0.75	0.75	0.666666666667	0.75	1.0	depart
1.0	0.424354013232	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.777777777778	0.5	1.0	0.8	0.857142857143	0.571428571429	0.666666666667	0.857142857143	0.8	D
1.0	0.463050805143	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.5	0.5	0.571428571429	0.4	0.5	0.75	0.5	0.5	0.75	E
1.0	0.474847085258	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.857142857143	0.75	0.5	0.769230769231	0.4	0.888888888889	0.5	0.6	0.75	1.0	return
1.0	0.651416801897	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.842105263158	1.0	0.5	0.888888888889	0.4	0.7	0.5	0.666666666667	0.75	0.666666666667	Pr
1.0	0.684933216827	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.666666666667	0.666666666667	0.666666666667	0.571428571429	0.8	0.5	0.5	0.909090909091	0.666666666667	Rs
1.0	0.731743852203	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.666666666667	0.5	0.888888888889	0.8	0.888888888889	0.5	0.8	0.8	1.0	Pr
1.0	0.871364373986	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.888888888889	0.888888888889	0.6	0.857142857143	0.75	0.75	0.75	1.0	Rs
1.0	0.268063420159	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.8	1.0	1.0	alpha
0.0	0.51087202718	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.666666666667	0.5	0.5	0.5	0.4	0.857142857143	0.666666666667	0.5	0.5	0.571428571429	a
1.0	0.559569648924	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.714285714286	0.5	0.923076923077	0.5	0.769230769231	0.5	0.714285714286	0.727272727273	0.857142857143	B
1.0	0.584258210646	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.5	0.444444444444	0.4	0.444444444444	0.333333333333	0.4	0.4	0.666666666667	0.666666666667	0.4	F
0.0	0.584258210646	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.5	0.444444444444	0.4	0.444444444444	0.333333333333	0.4	0.4	0.666666666667	0.666666666667	0.4	C
1.0	0.591845979615	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.4	0.4	0.4	0.4	0.333333333333	0.4	0.4	0.4	0.4	0.4	depart
1.0	0.624688561721	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.5	1.0	0.8	0.857142857143	0.5	0.666666666667	0.857142857143	1.0	G
1.0	0.706795016988	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.666666666667	0.888888888889	0.6	0.888888888889	0.888888888889	0.857142857143	0.8	1.0	K
0.0	0.775198187995	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	return
1.0	0.072266742988	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.888888888889	0.8	0.714285714286	0.7	0.75	0.5	1.0	0.857142857143	alpha
0.0	0.103677733257	0	0	0	0	0	0	0	0.842105263158	1.0	0.5	0.777777777778	0.4	0.7	0.5	0.5	0.75	0.555555555556	A
1.0	0.113981110475	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.5	0.5	0.666666666667	0.714285714286	0.571428571429	1.0	0.5	0.75	0.75	C
0.0	0.241270749857	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.75	1.0	0.8	0.888888888889	0.5	0.666666666667	1.0	0.8	F
1.0	0.43488838008	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.5	0.888888888889	0.4	0.8	0.5	0.5	0.666666666667	0.8	H
1.0	0.478534630796	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.666666666667	0.5	0.5	0.5	0.714285714286	0.571428571429	1.0	0.5	0.5	0.75	I
1.0	0.554879793932	0	0	0	0	0	0	0	0.842105263158	1.0	0.5	0.777777777778	0.4	0.7	0.5	0.5	0.75	0.555555555556	K
1.0	0.566471093303	0	0	0	0	0	0	0	1.0	0.5	0.5	0.75	0.4	0.888888888889	0.5	0.5	0.8	0.666666666667	return
1.0	0.714510589582	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.842105263158	1.0	0.857142857143	0.8	0.571428571429	0.8	0.5	0.666666666667	0.909090909091	0.8	Pr
1.0	0.741199198626	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.888888888889	0.857142857143	0.714285714286	0.857142857143	0.8	0.75	0.8	1.0	Rs
1.0	0.825772753291	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.75	0.5	0.5	0.4	0.5	0.75	0.5	0.5	0.8	Pr
